[2026-06-04 06:51:23] iteration        1/  100000 | consumed samples:        16384 | elapsed time per iteration (ms): 446213.5 | throughput per GPU (TFLOP/s/GPU): 36.7 | learning rate: 2.000000E-07 | global batch size: 16384 | lm loss: 1.319770E+01 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 10.580 | num zeros: 262293552.0 | params norm: 13415.513 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 06:52:39] iteration        2/  100000 | consumed samples:        32768 | elapsed time per iteration (ms): 75539.0 | throughput per GPU (TFLOP/s/GPU): 216.7 | learning rate: 4.000000E-07 | global batch size: 16384 | lm loss: 1.319701E+01 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 10.664 | num zeros: 289004064.0 | params norm: 13415.513 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 06:53:50] iteration        3/  100000 | consumed samples:        49152 | elapsed time per iteration (ms): 71381.6 | throughput per GPU (TFLOP/s/GPU): 229.4 | learning rate: 6.000000E-07 | global batch size: 16384 | lm loss: 1.319550E+01 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 10.636 | num zeros: 268184544.0 | params norm: 13415.512 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 06:54:45] iteration        4/  100000 | consumed samples:        65536 | elapsed time per iteration (ms): 54585.4 | throughput per GPU (TFLOP/s/GPU): 299.9 | learning rate: 8.000000E-07 | global batch size: 16384 | lm loss: 1.316096E+01 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 10.573 | num zeros: 263032608.0 | params norm: 13415.512 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 06:55:39] iteration        5/  100000 | consumed samples:        81920 | elapsed time per iteration (ms): 54265.1 | throughput per GPU (TFLOP/s/GPU): 301.7 | learning rate: 1.000000E-06 | global batch size: 16384 | lm loss: 1.305143E+01 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 10.666 | num zeros: 276995872.0 | params norm: 13415.512 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 06:56:42] iteration        6/  100000 | consumed samples:        98304 | elapsed time per iteration (ms): 62588.9 | throughput per GPU (TFLOP/s/GPU): 261.6 | learning rate: 1.200000E-06 | global batch size: 16384 | lm loss: 1.274033E+01 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 10.597 | num zeros: 267237392.0 | params norm: 13415.512 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 06:57:43] iteration        7/  100000 | consumed samples:       114688 | elapsed time per iteration (ms): 61035.3 | throughput per GPU (TFLOP/s/GPU): 268.2 | learning rate: 1.400000E-06 | global batch size: 16384 | lm loss: 1.256954E+01 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 11.655 | num zeros: 273872640.0 | params norm: 13415.512 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 06:58:36] iteration        8/  100000 | consumed samples:       131072 | elapsed time per iteration (ms): 53155.2 | throughput per GPU (TFLOP/s/GPU): 308.0 | learning rate: 1.600000E-06 | global batch size: 16384 | lm loss: 1.226538E+01 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 23.801 | num zeros: 266828368.0 | params norm: 13415.511 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 06:59:22] iteration        9/  100000 | consumed samples:       147456 | elapsed time per iteration (ms): 45935.9 | throughput per GPU (TFLOP/s/GPU): 356.4 | learning rate: 1.800000E-06 | global batch size: 16384 | lm loss: 1.215741E+01 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 25.492 | num zeros: 280380384.0 | params norm: 13415.511 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:00:11] iteration       10/  100000 | consumed samples:       163840 | elapsed time per iteration (ms): 48832.6 | throughput per GPU (TFLOP/s/GPU): 335.3 | learning rate: 2.000000E-06 | global batch size: 16384 | lm loss: 1.184594E+01 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 26.550 | num zeros: 284201120.0 | params norm: 13415.510 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:00:58] iteration       11/  100000 | consumed samples:       180224 | elapsed time per iteration (ms): 46870.1 | throughput per GPU (TFLOP/s/GPU): 349.3 | learning rate: 2.200000E-06 | global batch size: 16384 | lm loss: 1.177137E+01 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 47.545 | num zeros: 273277120.0 | params norm: 13415.510 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:01:44] iteration       12/  100000 | consumed samples:       196608 | elapsed time per iteration (ms): 46043.6 | throughput per GPU (TFLOP/s/GPU): 355.6 | learning rate: 2.400000E-06 | global batch size: 16384 | lm loss: 1.147306E+01 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 21.804 | num zeros: 266912352.0 | params norm: 13415.510 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:02:30] iteration       13/  100000 | consumed samples:       212992 | elapsed time per iteration (ms): 46340.0 | throughput per GPU (TFLOP/s/GPU): 353.3 | learning rate: 2.600000E-06 | global batch size: 16384 | lm loss: 1.132129E+01 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 18.097 | num zeros: 271338560.0 | params norm: 13415.509 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:03:17] iteration       14/  100000 | consumed samples:       229376 | elapsed time per iteration (ms): 46523.7 | throughput per GPU (TFLOP/s/GPU): 351.9 | learning rate: 2.800000E-06 | global batch size: 16384 | lm loss: 1.106640E+01 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 14.492 | num zeros: 262520736.0 | params norm: 13415.509 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:04:03] iteration       15/  100000 | consumed samples:       245760 | elapsed time per iteration (ms): 46103.0 | throughput per GPU (TFLOP/s/GPU): 355.1 | learning rate: 3.000000E-06 | global batch size: 16384 | lm loss: 1.096493E+01 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 50.751 | num zeros: 261281952.0 | params norm: 13415.509 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:04:50] iteration       16/  100000 | consumed samples:       262144 | elapsed time per iteration (ms): 47186.9 | throughput per GPU (TFLOP/s/GPU): 347.0 | learning rate: 3.200000E-06 | global batch size: 16384 | lm loss: 1.093215E+01 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 51.494 | num zeros: 273217600.0 | params norm: 13415.508 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:05:38] iteration       17/  100000 | consumed samples:       278528 | elapsed time per iteration (ms): 47741.8 | throughput per GPU (TFLOP/s/GPU): 342.9 | learning rate: 3.400000E-06 | global batch size: 16384 | lm loss: 1.081486E+01 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 36.306 | num zeros: 279158752.0 | params norm: 13415.508 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:06:24] iteration       18/  100000 | consumed samples:       294912 | elapsed time per iteration (ms): 46616.7 | throughput per GPU (TFLOP/s/GPU): 351.2 | learning rate: 3.600000E-06 | global batch size: 16384 | lm loss: 1.060417E+01 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 16.026 | num zeros: 278676256.0 | params norm: 13415.507 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:07:10] iteration       19/  100000 | consumed samples:       311296 | elapsed time per iteration (ms): 46099.0 | throughput per GPU (TFLOP/s/GPU): 355.1 | learning rate: 3.800000E-06 | global batch size: 16384 | lm loss: 1.048603E+01 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 14.930 | num zeros: 266899728.0 | params norm: 13415.507 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:07:57] iteration       20/  100000 | consumed samples:       327680 | elapsed time per iteration (ms): 46641.0 | throughput per GPU (TFLOP/s/GPU): 351.0 | learning rate: 4.000000E-06 | global batch size: 16384 | lm loss: 1.031579E+01 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 30.842 | num zeros: 276726272.0 | params norm: 13415.507 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:08:44] iteration       21/  100000 | consumed samples:       344064 | elapsed time per iteration (ms): 46503.2 | throughput per GPU (TFLOP/s/GPU): 352.1 | learning rate: 4.200000E-06 | global batch size: 16384 | lm loss: 1.051482E+01 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 62.408 | num zeros: 265810848.0 | params norm: 13415.507 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:09:30] iteration       22/  100000 | consumed samples:       360448 | elapsed time per iteration (ms): 46549.6 | throughput per GPU (TFLOP/s/GPU): 351.7 | learning rate: 4.400000E-06 | global batch size: 16384 | lm loss: 1.027959E+01 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 31.787 | num zeros: 262094960.0 | params norm: 13415.506 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:10:17] iteration       23/  100000 | consumed samples:       376832 | elapsed time per iteration (ms): 47391.0 | throughput per GPU (TFLOP/s/GPU): 345.5 | learning rate: 4.600000E-06 | global batch size: 16384 | lm loss: 1.012528E+01 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 13.783 | num zeros: 269797760.0 | params norm: 13415.506 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:11:04] iteration       24/  100000 | consumed samples:       393216 | elapsed time per iteration (ms): 47006.9 | throughput per GPU (TFLOP/s/GPU): 348.3 | learning rate: 4.800000E-06 | global batch size: 16384 | lm loss: 9.942246E+00 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 11.609 | num zeros: 274004160.0 | params norm: 13415.506 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:11:51] iteration       25/  100000 | consumed samples:       409600 | elapsed time per iteration (ms): 46445.3 | throughput per GPU (TFLOP/s/GPU): 352.5 | learning rate: 5.000000E-06 | global batch size: 16384 | lm loss: 9.778377E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 22.144 | num zeros: 282663680.0 | params norm: 13415.505 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:12:38] iteration       26/  100000 | consumed samples:       425984 | elapsed time per iteration (ms): 46914.9 | throughput per GPU (TFLOP/s/GPU): 349.0 | learning rate: 5.200000E-06 | global batch size: 16384 | lm loss: 9.656235E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 20.220 | num zeros: 257353936.0 | params norm: 13415.505 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:13:24] iteration       27/  100000 | consumed samples:       442368 | elapsed time per iteration (ms): 46201.3 | throughput per GPU (TFLOP/s/GPU): 354.4 | learning rate: 5.400000E-06 | global batch size: 16384 | lm loss: 9.634239E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 26.001 | num zeros: 275403360.0 | params norm: 13415.504 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:14:10] iteration       28/  100000 | consumed samples:       458752 | elapsed time per iteration (ms): 46201.5 | throughput per GPU (TFLOP/s/GPU): 354.4 | learning rate: 5.600000E-06 | global batch size: 16384 | lm loss: 9.472770E+00 | seq_load_balancing_loss: 1.000194E+00 | loss scale: 1.0 | grad norm: 11.501 | num zeros: 260888912.0 | params norm: 13415.504 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:14:57] iteration       29/  100000 | consumed samples:       475136 | elapsed time per iteration (ms): 46653.6 | throughput per GPU (TFLOP/s/GPU): 350.9 | learning rate: 5.800000E-06 | global batch size: 16384 | lm loss: 9.224453E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 13.332 | num zeros: 275496960.0 | params norm: 13415.504 | number of skipped iterations:   0 | number of nan iterations:   0 |
 [2026-06-04 07:15:44] iteration       30/  100000 | consumed samples:       491520 | elapsed time per iteration (ms): 46788.9 | throughput per GPU (TFLOP/s/GPU): 349.9 | learning rate: 6.000000E-06 | global batch size: 16384 | lm loss: 9.587251E+00 | seq_load_balancing_loss: 1.000195E+00 | loss scale: 1.0 | grad norm: 65.504 | num zeros: 272454112.0 | params norm: 13415.504 | number of skipped iterations:   0 | number of nan iterations:   0 |
